d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340934914,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,341360262,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340400883,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,341319594,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340909507,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339498902,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339431097,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340456728,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340021221,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340518194,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340509291,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340407197,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340292521,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339739551,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339562339,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339793800,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,305744849,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339057444,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,335169291,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339344740,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,338894452,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,331806110,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,335314102,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,335312387,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340690819,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340996715,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,339238584,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,341243067,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,336711940,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,340805023,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
d3ce7021-6f7e-4bbd-b7fc-dc7f588b701c_02-18-week2-PASSING_AND_PASSING,337448973,N/A,23/08/18 23:36,23/08/2018,spirals-bears,DETECTED
